geography,hsa_nci_id,hsa,n_counties,hsa_population,hsa_svi,hsa_svi_socioeconomic,hsa_svi_household,hsa_svi_racial_ethnic,hsa_svi_housing_transport
New Jersey,108,"Monmouth, NJ - Ocean (Brick Township), NJ",2,1281755,0.3132096800870681,0.28411887357568333,0.36637504406068244,0.5463599737079239,0.3361419824381415
New Jersey,126,"Mercer, NJ",1,383732,0.7445000000000002,0.5597,0.4053,0.8864,0.9383
New Jersey,127,"Cumberland, NJ",1,153588,0.9793,0.9418000000000001,0.8934000000000001,0.8976,0.9726
New Jersey,23,"Camden (Camden), NJ - Burlington, NJ",4,1351895,0.4654371301025597,0.3968897664389617,0.460714258207923,0.7346493474715122,0.4628466479275388
New Jersey,36,"Bergen, NJ - Hudson (Jersey City), NJ",3,2185258,0.6625644116621471,0.6259169865526176,0.2892830970073099,0.9052660172849155,0.7644338653376398
New Jersey,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",2,369795,0.7242178412363606,0.6724128038507823,0.5999857310131289,0.7317512089130463,0.7522379886153139
New Jersey,66,"Essex (Newark), NJ - Middlesex, NJ",4,2630578,0.7249773513653653,0.6364964561780719,0.46975343399815556,0.9286173989138509,0.813856730155882
New Jersey,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",2,653624,0.13991504840703523,0.11856446274922586,0.08417246735126005,0.6380423423864485,0.292609863774892
New Jersey,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",2,238838,0.13148879156583124,0.15284056222209197,0.09030614851907989,0.5107738873211131,0.18710785427779497
New York,10,"Albany (Albany), NY - Rensselaer, NY",2,475984,0.44196345486402905,0.298380675821036,0.19598256348952908,0.6157939058875929,0.7777886750394971
New York,105,"Tompkins, NY - Cortland, NY",2,149310,0.383716968053044,0.35791088004822186,0.023081916817359854,0.4833526522001206,0.8915872513562386
New York,106,"Chautauqua, NY",1,127440,0.7229,0.6147,0.7579,0.4085,0.798
New York,19,"Broome (Binghamton), NY - Tioga, NY",2,246709,0.6122627224787097,0.551313389864172,0.4384330429777592,0.43056722089587324,0.7760602734395584
New York,21,"Ontario (Geneva), NY - Wayne, NY",4,261976,0.369289365056341,0.3151741953461386,0.31036897692918436,0.32123227165847257,0.6347955045500352
New York,35,"Cattaraugus, NY - Allegany, NY",2,124222,0.594759821931703,0.5669100529696834,0.42908290318945114,0.24855032119914344,0.8280831173222135
New York,41,"Westchester (Yonkers), NY - Dutchess, NY",4,1574466,0.579008887267175,0.39065745509906213,0.30099040690621454,0.7850246410529028,0.843814626609911
New York,54,"Erie (Buffalo), NY - Monroe, NY",7,2120538,0.5056129065359828,0.3755186858240692,0.4694611304301078,0.5996599430899139,0.6523651904375211
New York,56,"Onondaga (Syracuse), NY - Oswego, NY",3,666845,0.5817754833582017,0.45416006343303167,0.4065675347344585,0.5026503805232101,0.8341375204132895
New York,58,"Otsego, NY - Chenango, NY",4,181381,0.41259274565693205,0.40646416383193396,0.29530131491170525,0.2467069527679305,0.6711668973045688
New York,59,"Oneida (Utica), NY - Madison, NY",3,359368,0.5193157918902072,0.3179149139600632,0.5279556674495225,0.41524760551857703,0.8194444096302398
New York,65,"Steuben, NY - Chemung (Elmira), NY",3,195023,0.5147778103095533,0.48845102628920695,0.4584008578475359,0.28620308066228084,0.6816922952677377
New York,76,"Fulton, NY - Montgomery (Amsterdam), NY",2,102904,0.5859648837751691,0.568912734198865,0.5623725491720438,0.4214356137759465,0.6174207883075488
New York,80,"St. Lawrence, NY - Jefferson, NY",3,252805,0.6349424240026899,0.5732913213741817,0.32126522022903026,0.3477829809536995,0.8799745376871503
New York,81,"Clinton, NY - Franklin, NY",3,164612,0.45665468009622634,0.4161186942628727,0.14492283551624424,0.3287959377202148,0.8358205276650548
New York,83,"Suffolk, NY - Nassau, NY",2,2913646,0.26827734515449025,0.17980398511006485,0.13914843340611727,0.765652981728048,0.49231696115451223
New York,86,"Orange (Newburgh), NY - Sullivan, NY",2,479962,0.7521251709510336,0.5490984211250057,0.6476616903004822,0.7619103897808577,0.8927435328213483
New York,865,"Rockland, NY",1,337326,0.7471,0.6087,0.5062,0.7607,0.8914999999999998
New York,88,"Saratoga, NY - Schenectady (Schenectady), NY",5,527859,0.2501261351989831,0.22895527063098292,0.11561540373470945,0.4059235265478092,0.5084099841056039
New York,881,"Columbia, NY - Greene, NY",2,109536,0.41848681894536954,0.32469292652643883,0.3272111059377739,0.4540380012050832,0.64071030072305
New York,94,"Kings (New York), NY - Queens, NY",5,8622467,0.8353375356495999,0.8081501620823831,0.4161209726984168,0.9415738564728633,0.9248636046273069
