forecast_horizon,SVI_domain,pearson_r,pearson_p,spearman_r,spearman_p,pearson_p_fdr,spearman_p_fdr,pearson_p_fdr_global,spearman_p_fdr_global
1-week,Overall SVI,-0.19261095158041766,0.32611506483250846,-0.18609742747673783,0.34304957327942853,0.5435251080541808,0.5717492887990476,0.46898249209546766,0.4900708189706122
1-week,Socioeconomic status,-0.13759103196849165,0.48505143191209954,-0.1330049261083744,0.49985636700000113,0.6063142898901244,0.6248204587500014,0.5389460354578883,0.5936049216212905
1-week,Household characteristics,-0.09373090707519476,0.635206559903888,-0.05363984674329502,0.7863219986928865,0.635206559903888,0.7863219986928865,0.635206559903888,0.7863219986928865
1-week,Racial/ethnic minority status,0.37055080209424407,0.05224469927744125,0.3147235905856595,0.10285022402325256,0.1306117481936031,0.25712556005813136,0.1306117481936031,0.2936041171341161
1-week,Housing/transportation,-0.4204963697849955,0.025876663829467617,-0.5155993431855501,0.004982446909160066,0.12938331914733808,0.02491223454580033,0.12938331914733808,0.02491223454580033
2-week,Overall SVI,-0.2594335541190377,0.18247768019808241,-0.2731253420908593,0.15964828536673217,0.30412946699680404,0.2660804756112203,0.36495536039616483,0.31929657073346435
2-week,Socioeconomic status,-0.191763953952416,0.32828774446682735,-0.2222222222222222,0.25572201711873627,0.41035968058353417,0.3196525213984203,0.46898249209546766,0.4262033618645605
2-week,Household characteristics,-0.14235330926693626,0.46991784228507694,-0.12260536398467432,0.5342444294591615,0.46991784228507694,0.5342444294591615,0.5389460354578883,0.5936049216212905
2-week,Racial/ethnic minority status,0.3717318523600701,0.051440904255267275,0.30268199233716475,0.11744164685364644,0.12860226063816818,0.2660804756112203,0.1306117481936031,0.2936041171341161
2-week,Housing/transportation,-0.4913565573552436,0.007923267984842107,-0.5659551176792555,0.001694696883467342,0.03961633992421053,0.008473484417336708,0.07923267984842106,0.016946968834673417
